Number,Serie,Test,H1/3 deep,Hmo deep,T1/3 deep,Tp deep,"Tm0,2 deep","Tm-1,0 deep",Lp deep,shallow 1 deep 3,beta,H1/3 toe,Hmo toe,T1/3 toe,Tp toe,"Tm0,2 toe","Tm-1,0 toe",Lp toe,shallow 1 deep 3,H1/3 trans,Hmo trans,Hmo trans at Lp toe,Kt,kr,hdeep,h,ht,hb,hc,Rc,Ac,m,toe1 or berm2,Wb,Wh,Wt,Dn50 A,tA,Dn50 F,tF,Dn50 C,tC,p,P,Gc,B,cot_ d f,cot_ incl f,cot_ excl f,cot_ u f,cot_ u b,_f,"s-1,0",Hm0/Dn50,Rc/Hmo,B/Hmo,
1,Seelig (1980),bw 1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.156,1.276,1.340,1.063,1.218,2.646,1,0.000,0.050,0.050,0.319,0.000,0.000,0.750,0.750,0.000,0.750,0.000,0.000,15.000,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.300,0.300,1.500,1.500,1.500,1.500,1.500,1.000,0.067,0.000,0.000,1.923,
2,Seelig (1980),bw 1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.172,1.390,1.460,1.159,1.327,2.875,1,0.000,0.026,0.026,0.151,0.000,0.000,0.600,0.600,0.000,0.750,0.150,0.150,15.000,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.300,0.300,1.500,1.500,1.500,1.500,1.500,1.000,0.063,0.000,0.872,1.744,
3,Seelig (1980),bw 1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.167,1.381,1.450,1.151,1.318,3.006,1,0.000,0.059,0.059,0.355,0.000,0.000,0.750,0.750,0.000,0.750,0.000,0.000,15.000,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.300,0.300,1.500,1.500,1.500,1.500,1.500,1.000,0.062,0.000,0.000,1.796,
4,Seelig (1980),bw 1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.133,1.276,1.340,1.063,1.218,2.646,1,0.000,0.041,0.041,0.305,0.000,0.000,0.750,0.750,0.000,0.750,0.000,0.000,15.000,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.300,0.300,1.500,1.500,1.500,1.500,1.500,1.000,0.057,0.000,0.000,2.256,
5,Seelig (1980),bw 1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,1.267,1.330,1.056,1.209,2.613,1,0.000,0.036,0.036,0.291,0.000,0.000,0.750,0.750,0.000,0.750,0.000,0.000,15.000,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.300,0.300,1.500,1.500,1.500,1.500,1.500,1.000,0.055,0.000,0.000,2.400,
6,Seelig (1980),bw 1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.165,1.486,1.560,1.238,1.418,3.362,1,0.000,0.057,0.057,0.347,0.000,0.000,0.750,0.750,0.000,0.750,0.000,0.000,15.000,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.300,0.300,1.500,1.500,1.500,1.500,1.500,1.000,0.053,0.000,0.000,1.818,
7,Seelig (1980),bw 1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.169,1.543,1.620,1.286,1.473,3.325,1,0.000,0.030,0.030,0.176,0.000,0.000,0.600,0.600,0.000,0.750,0.150,0.150,15.000,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.300,0.300,1.500,1.500,1.500,1.500,1.500,1.000,0.050,0.000,0.888,1.775,
8,Seelig (1980),bw 1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.158,1.524,1.600,1.270,1.455,3.269,1,0.000,0.016,0.016,0.103,0.000,0.000,0.600,0.600,0.000,0.750,0.150,0.150,15.000,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.300,0.300,1.500,1.500,1.500,1.500,1.500,1.000,0.048,0.000,0.949,1.899,
9,Seelig (1980),bw 1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.155,1.924,2.020,1.603,1.836,4.412,1,0.000,0.025,0.025,0.160,0.000,0.000,0.600,0.600,0.000,0.750,0.150,0.150,15.000,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.300,0.300,1.500,1.500,1.500,1.500,1.500,1.000,0.029,0.000,0.968,1.935,
10,Seelig (1980),bw 1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.128,1.952,2.050,1.627,1.864,4.492,1,0.000,0.009,0.009,0.068,0.000,0.000,0.600,0.600,0.000,0.750,0.150,0.150,15.000,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.300,0.300,1.500,1.500,1.500,1.500,1.500,1.000,0.024,0.000,1.172,2.344,
11,Seelig (1980),bw 1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.115,1.905,2.000,1.587,1.818,4.737,1,0.000,0.041,0.041,0.356,0.000,0.000,0.750,0.750,0.000,0.750,0.000,0.000,15.000,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.300,0.300,1.500,1.500,1.500,1.500,1.500,1.000,0.022,0.000,0.000,2.609,
12,Seelig (1980),bw 1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.120,3.162,3.320,2.635,3.018,7.755,1,0.000,0.005,0.005,0.045,0.000,0.000,0.600,0.600,0.000,0.750,0.150,0.150,15.000,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.300,0.300,1.500,1.500,1.500,1.500,1.500,1.000,0.008,0.000,1.250,2.500,
13,Seelig (1980),bw 1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.113,3.162,3.320,2.635,3.018,7.755,1,0.000,0.004,0.004,0.039,0.000,0.000,0.600,0.600,0.000,0.750,0.150,0.150,15.000,2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,0.300,0.300,1.500,1.500,1.500,1.500,1.500,1.000,0.008,0.000,1.327,2.655,
14,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.121,2.019,2.120,1.683,1.927,4.151,1,0.000,0.014,0.014,0.113,0.000,0.000,0.450,0.450,0.000,0.660,0.210,0.210,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.261,0.500,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.400,0.021,1.090,1.736,3.306,
15,Seelig (1980),bw 4 rocks,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.124,1.619,1.700,1.349,1.545,3.195,1,0.000,0.014,0.014,0.109,0.000,0.000,0.450,0.450,0.000,0.660,0.210,0.210,15.000,2,0.000,0.000,0.000,0.111,0.200,0.000,0.000,0.029,0.460,0.261,0.500,0.400,0.400,1.500,1.500,1.500,1.500,2.600,0.400,0.033,1.117,1.694,3.226,
